Node Index,Latitude,Longitude,Fraction Strike-Slip,Fraction Reverse,Fraction Normal
100,31.900000000000002,-115.8,0.5,0.089577,0.410423
101,31.900000000000002,-115.7,0.5,0.066405,0.433595
102,31.900000000000002,-115.59999999999998,0.5,0.047316,0.452684
103,31.900000000000002,-115.49999999999999,0.5,0.032289,0.467711
104,31.900000000000002,-115.39999999999999,0.5,0.021034,0.478966
105,31.900000000000002,-115.3,0.5,0.013051,0.486949
106,31.900000000000002,-115.2,0.5,0.007702,0.492298
107,31.900000000000002,-115.1,0.5,0.004323,0.495677
108,31.900000000000002,-115.0,0.5,0.002308,0.497692
109,31.900000000000002,-114.9,0.5,0.001172,0.498828
110,31.900000000000002,-114.80000000000001,0.5,5.65E-4,0.499435
111,31.900000000000002,-114.70000000000002,0.5,2.58E-4,0.499742
112,31.900000000000002,-114.6,0.5,1.11E-4,0.499889
113,31.900000000000002,-114.5,0.5,4.4E-5,0.499956
114,31.900000000000002,-114.4,0.5,1.5E-5,0.499985
115,31.900000000000002,-114.3,0.5,4.0E-6,0.499996
116,31.900000000000002,-114.2,0.5,0.0,0.5
117,32.0,-117.90000000000002,0.5,0.489645,0.010355
118,32.0,-117.8,0.5,0.493898,0.006102
119,32.0,-117.7,0.5,0.495902,0.004098
120,32.0,-117.6,0.5,0.496195,0.003805
121,32.0,-117.5,0.5,0.495041,0.004959
122,32.0,-117.4,0.5,0.492417,0.007583
123,32.0,-117.30000000000001,0.5,0.487999,0.012001
124,32.0,-117.20000000000002,0.5,0.481243,0.018757
125,32.0,-117.1,0.5,0.47152,0.02848
126,32.0,-117.0,0.5,0.458282,0.041718
127,32.0,-116.9,0.5,0.441248,0.058752
128,32.0,-116.80000000000001,0.5,0.420447,0.079553
129,32.0,-116.69999999999999,0.5,0.396108,0.103892
130,32.0,-116.6,0.5,0.36852,0.13148
131,32.0,-116.5,0.5,0.337949,0.162051
132,32.0,-116.4,0.5,0.304751,0.195249
133,32.0,-116.3,0.5,0.26947,0.23053
134,32.0,-116.2,0.5,0.232918,0.267082
135,32.0,-116.10000000000001,0.5,0.196178,0.303822
136,32.0,-116.00000000000001,0.5,0.160495,0.339505
137,32.0,-115.90000000000002,0.5,0.127117,0.372883
138,32.0,-115.8,0.5,0.097149,0.402851
139,32.0,-115.7,0.5,0.071412,0.428588
140,32.0,-115.59999999999998,0.5,0.050343,0.449657
141,32.0,-115.49999999999999,0.5,0.03395,0.46605
142,32.0,-115.39999999999999,0.5,0.021865,0.478135
143,32.0,-115.3,0.5,0.013441,0.486559
144,32.0,-115.2,0.5,0.007889,0.492111
145,32.0,-115.1,0.5,0.004426,0.495574
146,32.0,-115.0,0.5,0.002377,0.497623
147,32.0,-114.9,0.5,0.001222,0.498778
148,32.0,-114.80000000000001,0.5,6.01E-4,0.499399
149,32.0,-114.70000000000002,0.5,2.83E-4,0.499717
150,32.0,-114.6,0.5,1.26E-4,0.499874
151,32.0,-114.5,0.5,5.2E-5,0.499948
152,32.0,-114.4,0.5,1.9E-5,0.499981
153,32.0,-114.3,0.5,5.0E-6,0.499995
154,32.0,-114.2,0.5,0.0,0.5
155,32.0,-114.10000000000001,0.5,0.0,0.5
156,32.0,-114.00000000000001,0.5,0.0,0.5
157,32.1,-118.00000000000001,0.5,0.491151,0.008849
158,32.1,-117.90000000000002,0.5,0.494549,0.005451
159,32.1,-117.8,0.5,0.496712,0.003288
160,32.1,-117.7,0.5,0.497818,0.002182
161,32.1,-117.6,0.5,0.498051,0.001949
162,32.1,-117.5,0.5,0.497466,0.002534
163,32.1,-117.4,0.5,0.495966,0.004034
164,32.1,-117.30000000000001,0.5,0.493236,0.006764
165,32.1,-117.20000000000002,0.5,0.48872,0.01128
166,32.1,-117.1,0.5,0.481663,0.018337
167,32.1,-117.0,0.5,0.471211,0.028789
168,32.1,-116.9,0.5,0.456659,0.043341
169,32.1,-116.80000000000001,0.5,0.437659,0.062341
170,32.1,-116.69999999999999,0.5,0.414275,0.085725
171,32.1,-116.6,0.5,0.386841,0.113159
172,32.1,-116.5,0.5,0.355747,0.144253
173,32.1,-116.4,0.5,0.321454,0.178546
174,32.1,-116.3,0.5,0.284553,0.215447
175,32.1,-116.2,0.5,0.245901,0.254099
176,32.1,-116.10000000000001,0.5,0.206678,0.293322
177,32.1,-116.00000000000001,0.5,0.16832,0.33168
178,32.1,-115.90000000000002,0.5,0.132341,0.367659
179,32.1,-115.8,0.5,0.100123,0.399877
180,32.1,-115.7,0.5,0.072695,0.427305
181,32.1,-115.59999999999998,0.5,0.050562,0.449438
182,32.1,-115.49999999999999,0.5,0.033658,0.466342
183,32.1,-115.39999999999999,0.5,0.021444,0.478556
184,32.1,-115.3,0.5,0.013091,0.486909
185,32.1,-115.2,0.5,0.007669,0.492331
186,32.1,-115.1,0.5,0.004319,0.495681
187,32.1,-115.0,0.5,0.002342,0.497658
188,32.1,-114.9,0.5,0.001224,0.498776
189,32.1,-114.80000000000001,0.5,6.16E-4,0.499384
190,32.1,-114.70000000000002,0.5,2.98E-4,0.499702
191,32.1,-114.6,0.5,1.38E-4,0.499862
192,32.1,-114.5,0.5,6.0E-5,0.49994
193,32.1,-114.4,0.5,2.2E-5,0.499978
194,32.1,-114.3,0.5,7.0E-6,0.499993
195,32.1,-114.2,0.5,0.0,0.5
196,32.1,-114.10000000000001,0.5,0.0,0.5
197,32.1,-114.00000000000001,0.5,0.0,0.5
198,32.1,-113.9,0.5,0.0,0.5
199,32.1,-113.8,0.5,0.0,0.5
200,32.2,-118.00000000000001,0.5,0.495918,0.004082
201,32.2,-117.90000000000002,0.5,0.497399,0.002601
202,32.2,-117.8,0.5,0.498382,0.001618
203,32.2,-117.7,0.5,0.498919,0.001081
204,32.2,-117.6,0.5,0.499052,9.48E-4
205,32.2,-117.5,0.5,0.498749,0.001251
206,32.2,-117.4,0.5,0.497892,0.002108
207,32.2,-117.30000000000001,0.5,0.496197,0.003803
208,32.2,-117.20000000000002,0.5,0.493142,0.006858
209,32.2,-117.1,0.5,0.487935,0.012065
210,32.2,-117.0,0.5,0.479538,0.020462
211,32.2,-116.9,0.5,0.466908,0.033092
212,32.2,-116.80000000000001,0.5,0.449328,0.050672
213,32.2,-116.69999999999999,0.5,0.42663,0.07337
214,32.2,-116.6,0.5,0.399128,0.100872
215,32.2,-116.5,0.5,0.367319,0.132681
216,32.2,-116.4,0.5,0.331777,0.168223
217,32.2,-116.3,0.5,0.293181,0.206819
218,32.2,-116.2,0.5,0.252481,0.247519
219,32.2,-116.10000000000001,0.5,0.211014,0.288986
220,32.2,-116.00000000000001,0.5,0.170452,0.329548
221,32.2,-115.90000000000002,0.5,0.132592,0.367408
222,32.2,-115.8,0.5,0.099044,0.400956
223,32.2,-115.7,0.5,0.070934,0.429066
224,32.2,-115.59999999999998,0.5,0.048692,0.451308
225,32.2,-115.49999999999999,0.5,0.03206,0.46794
226,32.2,-115.39999999999999,0.5,0.020278,0.479722
227,32.2,-115.3,0.5,0.01235,0.48765
228,32.2,-115.2,0.5,0.007257,0.492743
229,32.2,-115.1,0.5,0.004123,0.495877
230,32.2,-115.0,0.5,0.002268,0.497732
231,32.2,-114.9,0.5,0.001209,0.498791
232,32.2,-114.80000000000001,0.5,6.24E-4,0.499376
233,32.2,-114.70000000000002,0.5,3.12E-4,0.499688
234,32.2,-114.6,0.5,1.5E-4,0.49985
235,32.2,-114.5,0.5,6.8E-5,0.499932
236,32.2,-114.4,0.5,2.7E-5,0.499973
237,32.2,-114.3,0.5,9.0E-6,0.499991
238,32.2,-114.2,0.5,0.0,0.5
